CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
10180,,,"Abilene, TX",Metropolitan Statistical Area,165252,165252,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,333,1049,808,31,869,1346,329,412,721,910,539,2290,2358,2392,2381,2411,2384,2405,2360,2361,409,1501,1590,1692,1596,1701,1725,1709,1774,1752,130,789,768,700,785,710,659,696,586,609,84,199,510,358,416,494,384,314,188,220,124,64,-461,-1050,-310,159,-710,-593,-49,90,208,263,49,-692,106,653,-326,-279,139,310,-5,-3,-9,23,-22,-17,-4,-5,-4,-9
10420,,,"Akron, OH",Metropolitan Statistical Area,703200,703196,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479,-165,169,-1091,1512,1287,-526,-858,463,-132,-376,1980,7570,7497,7544,7708,7562,7449,7399,7254,7196,1606,6657,7007,6988,6849,7463,7296,7528,7262,7196,374,913,490,556,859,99,153,-129,-8,0,221,1129,1203,1821,1635,1922,1881,1500,938,836,-727,-1861,-2736,-778,-1092,-2499,-2875,-881,-1044,-1190,-506,-732,-1533,1043,543,-577,-994,619,-106,-354,-33,-12,-48,-87,-115,-48,-17,-27,-18,-22
10500,,,"Albany, GA",Metropolitan Statistical Area,153857,154033,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726,112,400,-569,-1309,-718,-1562,-1250,-1047,-250,-1114,540,2299,2146,2181,2034,1995,1910,1870,1898,1891,409,1214,1377,1434,1389,1414,1499,1478,1586,1541,131,1085,769,747,645,581,411,392,312,350,18,42,113,134,85,103,144,92,83,51,-40,-725,-1480,-2237,-1467,-2268,-1812,-1532,-641,-1516,-22,-683,-1367,-2103,-1382,-2165,-1668,-1440,-558,-1465,3,-2,29,47,19,22,7,1,-4,1
10540,,,"Albany-Lebanon, OR",Metropolitan Statistical Area,116672,116681,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749,210,1273,109,132,637,1194,2533,2266,2416,2298,386,1452,1446,1378,1450,1474,1519,1517,1508,1512,260,1129,1125,1140,1219,1299,1328,1293,1322,1310,126,323,321,238,231,175,191,224,186,202,20,57,-27,-43,-3,7,79,72,21,21,74,892,-158,-43,420,1012,2254,1964,2198,2066,94,949,-185,-86,417,1019,2333,2036,2219,2087,-10,1,-27,-20,-11,0,9,6,11,9
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870713,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381,369,1696,1920,2367,1048,972,707,2366,105,-1882,2379,9106,9115,9199,9170,9091,9017,8954,8766,8704,1796,7634,7650,7765,7521,7917,7705,8052,8225,8235,583,1472,1465,1434,1649,1174,1312,902,541,469,442,1760,2055,1769,2042,2173,2221,1652,1251,1033,-618,-1515,-1478,-759,-2553,-2321,-2800,-163,-1674,-3375,-176,245,577,1010,-511,-148,-579,1489,-423,-2342,-38,-21,-122,-77,-90,-54,-26,-25,-13,-9
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,887077,887063,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018,2495,8458,3923,3014,-415,1488,3211,3074,2636,3071,2761,11173,11024,10727,10467,10391,10130,9838,9651,9520,1426,6714,6614,6827,7020,7339,7495,7714,8003,7943,1335,4459,4410,3900,3447,3052,2635,2124,1648,1577,191,1831,1593,2203,686,1359,1071,836,750,753,973,2178,-1928,-3026,-4472,-2875,-455,155,273,788,1164,4009,-335,-823,-3786,-1516,616,991,1023,1541,-4,-10,-152,-63,-76,-48,-40,-41,-35,-47
10780,,,"Alexandria, LA",Metropolitan Statistical Area,153922,153918,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037,178,306,-2,223,-65,-476,42,-575,-787,-725,501,2037,2026,2010,2145,2122,2078,2060,1914,1875,371,1477,1586,1729,1561,1695,1625,1691,1783,1625,130,560,440,281,584,427,453,369,131,250,21,116,80,154,89,42,93,23,24,15,39,-365,-507,-192,-727,-938,-501,-964,-945,-991,60,-249,-427,-38,-638,-896,-408,-941,-921,-976,-12,-5,-15,-20,-11,-7,-3,-3,3,1
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821173,821273,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052,650,3007,1214,-413,2739,1825,2868,4758,4705,1426,2145,8613,8566,8500,8581,8332,8481,8537,8656,8556,1955,7881,7667,8141,7791,8411,8103,8314,8194,8103,190,732,899,359,790,-79,378,223,462,453,452,2222,2161,2521,2837,2826,3236,3061,3594,1200,116,76,-1752,-3263,-767,-840,-706,1522,680,-192,568,2298,409,-742,2070,1986,2530,4583,4274,1008,-108,-23,-94,-30,-121,-82,-40,-48,-31,-35
11020,,,"Altoona, PA",Metropolitan Statistical Area,127089,127117,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829,-72,-75,-426,-708,-562,-678,-888,-561,-644,-674,339,1339,1319,1319,1302,1330,1298,1241,1176,1146,394,1599,1500,1697,1556,1633,1641,1660,1554,1619,-55,-260,-181,-378,-254,-303,-343,-419,-378,-473,9,17,21,16,23,36,45,36,33,30,-9,175,-245,-335,-312,-401,-585,-171,-295,-225,0,192,-224,-319,-289,-365,-540,-135,-262,-195,-17,-7,-21,-11,-19,-10,-5,-7,-4,-6
11100,,,"Amarillo, TX",Metropolitan Statistical Area,251933,251935,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053,729,3311,1827,1094,1916,806,1369,1344,75,647,938,3786,3702,3885,3953,3849,3673,3508,3327,3314,607,2150,2196,2351,2313,2397,2415,2273,2409,2324,331,1636,1506,1534,1640,1452,1258,1235,918,990,119,576,759,711,908,828,747,701,495,482,275,1097,-447,-1205,-656,-1489,-644,-591,-1345,-824,394,1673,312,-494,252,-661,103,110,-850,-342,4,2,9,54,24,15,8,-1,7,-1
11180,,,"Ames, IA",Metropolitan Statistical Area,115848,115850,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351,75,1499,715,2022,1931,987,230,412,-628,258,331,1307,1209,1279,1226,1181,1199,1171,1158,1140,173,783,727,784,829,785,847,844,842,816,158,524,482,495,397,396,352,327,316,324,139,908,585,885,929,686,695,826,354,340,-228,64,-339,632,599,-83,-822,-745,-1310,-409,-89,972,246,1517,1528,603,-127,81,-956,-69,6,3,-13,10,6,-12,5,4,12,3
11260,,,"Anchorage, AK",Metropolitan Statistical Area,380821,380821,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317,2232,4869,4010,5090,974,613,2759,-798,-2934,-1319,1484,6122,5902,6047,6167,6155,6080,5748,5434,5291,414,2015,2026,2139,2139,2266,2322,2335,2502,2493,1070,4107,3876,3908,4028,3889,3758,3413,2932,2798,263,729,1303,1566,601,1168,1262,1480,307,380,846,31,-1203,-385,-3767,-4541,-2286,-5723,-6195,-4506,1109,760,100,1181,-3166,-3373,-1024,-4243,-5888,-4126,53,2,34,1,112,97,25,32,22,9
11460,,,"Ann Arbor, MI",Metropolitan Statistical Area,344791,345163,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601,554,4036,2550,3737,3981,2954,3160,2672,676,-1882,975,3824,3778,3666,3750,3649,3698,3666,3487,3473,547,2064,2077,2140,2164,2183,2179,2227,2406,2448,428,1760,1701,1526,1586,1466,1519,1439,1081,1025,517,2159,2202,2304,2219,2016,2452,1965,1208,1160,-385,120,-1328,-34,244,-486,-802,-718,-1622,-4098,132,2279,874,2270,2463,1530,1650,1247,-414,-2938,-6,-3,-25,-59,-68,-42,-9,-14,9,31
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,118572,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,-118,-664,-554,-719,-554,-448,-496,-263,-379,-726,318,1385,1356,1309,1315,1388,1382,1324,1299,1269,311,1325,1359,1410,1395,1455,1475,1393,1616,1532,7,60,-3,-101,-80,-67,-93,-69,-317,-263,-4,26,67,45,66,66,102,69,103,14,-113,-752,-606,-659,-534,-438,-502,-259,-159,-475,-117,-726,-539,-614,-468,-372,-400,-190,-56,-461,-8,2,-12,-4,-6,-9,-3,-4,-6,-2
11540,,,"Appleton, WI",Metropolitan Statistical Area,225666,225667,225948,227548,228656,229978,231627,233146,234200,235811,237011,237974,281,1600,1108,1322,1649,1519,1054,1611,1200,963,745,2946,2842,2818,2761,2894,2839,2784,2632,2658,369,1532,1543,1558,1665,1787,1796,1790,1719,1676,376,1414,1299,1260,1096,1107,1043,994,913,982,39,125,195,246,273,235,186,178,124,117,-124,66,-358,-156,309,207,-166,452,170,-127,-85,191,-163,90,582,442,20,630,294,-10,-10,-5,-28,-28,-29,-30,-9,-13,-7,-9
11700,,,"Asheville, NC",Metropolitan Statistical Area,424858,424863,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680,475,2775,2832,4850,3866,4932,5717,4545,4459,3366,1070,4347,4391,4433,4348,4604,4512,4300,4315,4264,1138,4519,4413,4739,4703,5033,5023,5236,5109,5132,-68,-172,-22,-306,-355,-429,-511,-936,-794,-868,37,3,6,75,107,225,127,126,111,84,510,2937,2822,4968,4034,5082,6079,5334,5127,4140,547,2940,2828,5043,4141,5307,6206,5460,5238,4224,-4,7,26,113,80,54,22,21,15,10
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541,192567,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750,872,936,1609,1606,771,4204,2837,3704,2362,2282,593,2249,2218,2208,2203,2206,2204,2184,2236,2178,353,1259,1231,1306,1386,1420,1397,1484,1462,1517,240,990,987,902,817,786,807,700,774,661,82,263,357,488,336,544,819,557,507,352,493,-321,238,231,-408,2833,1212,2438,1090,1276,575,-58,595,719,-72,3377,2031,2995,1597,1628,57,4,27,-15,26,41,-1,9,-9,-7
12060,,,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,5286728,5286718,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364,15880,63864,78011,66057,82674,92844,101917,84467,72871,75061,18132,73833,72554,71136,72496,73726,73312,73339,72422,72487,7717,32074,31386,33699,34075,36037,36493,37477,39676,41038,10415,41759,41168,37437,38421,37689,36819,35862,32746,31449,3052,9746,14289,16599,12543,18234,26353,16783,13908,12541,2099,12256,22129,11894,31819,37014,38767,31808,26200,31043,5151,22002,36418,28493,44362,55248,65120,48591,40108,43584,314,103,425,127,-109,-93,-22,14,17,28
12100,,,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274549,274525,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670,123,-27,8,-315,-1736,-2425,-2936,-1719,-1509,-319,802,3409,3375,3236,3177,3009,2906,2796,2785,2718,550,2568,2467,2651,2533,2634,2681,2815,2759,2793,252,841,908,585,644,375,225,-19,26,-75,231,1129,898,817,820,879,768,886,576,271,-350,-2000,-1808,-1712,-3253,-3716,-3942,-2594,-2110,-507,-119,-871,-910,-895,-2433,-2837,-3174,-1708,-1534,-236,-10,3,10,-5,53,37,13,8,-1,-8
12220,,,"Auburn-Opelika, AL",Metropolitan Statistical Area,140247,140287,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542,507,3336,4437,3242,2702,2443,2214,2272,2216,886,412,1629,1660,1829,1829,1912,1942,1883,1879,1825,237,807,883,1040,1118,1093,983,1103,1102,1133,175,822,777,789,711,819,959,780,777,692,108,480,832,623,476,504,524,309,283,303,217,2021,2740,1795,1488,1118,731,1177,1159,-112,325,2501,3572,2418,1964,1622,1255,1486,1442,191,7,13,88,35,27,2,0,6,-3,3
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,564873,564893,566694,570849,576206,579802,583046,589574,595029,600276,604221,608980,1801,4155,5357,3596,3244,6528,5455,5247,3945,4759,1784,7401,7566,7191,7504,7460,7642,7545,7403,7311,1221,4961,4872,5190,5249,5255,5379,5505,5799,5792,563,2440,2694,2001,2255,2205,2263,2040,1604,1519,225,282,998,712,572,961,809,463,303,289,990,1415,1613,821,465,3351,2399,2758,2053,2963,1215,1697,2611,1533,1037,4312,3208,3221,2356,3252,23,18,52,62,-48,11,-16,-14,-15,-12
12420,,,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,1716289,1716323,1727502,1780535,1834586,1883315,1942467,2002134,2062016,2115475,2165497,2227083,11179,53033,54051,48729,59152,59667,59882,53459,50022,61586,6155,25239,24837,25344,26079,26834,26774,26265,26031,26115,1973,8330,8437,9037,9131,9703,10061,10500,11250,11445,4182,16909,16400,16307,16948,17131,16713,15765,14781,14670,1099,5070,5980,5950,7908,9166,8651,7909,5727,5280,5442,30808,30449,25818,33245,32833,34283,29589,29361,41334,6541,35878,36429,31768,41153,41999,42934,37498,35088,46614,456,246,1222,654,1051,537,235,196,153,302
12540,,,"Bakersfield, CA",Metropolitan Statistical Area,839631,839621,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202,1375,6974,5636,8394,7176,6855,4825,6500,6402,6444,3486,14409,14208,14417,14091,14082,13750,13625,13170,13144,1368,5401,5235,5654,5640,5916,5817,6101,6508,6478,2118,9008,8973,8763,8451,8166,7933,7524,6662,6666,143,608,783,1133,1069,1289,1322,623,40,81,-909,-2631,-4189,-1435,-2226,-2531,-4426,-1634,-288,-291,-766,-2023,-3406,-302,-1157,-1242,-3104,-1011,-248,-210,23,-11,69,-67,-118,-69,-4,-13,-12,-12
12580,,,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,2710489,2710598,2715738,2733785,2754637,2768233,2780055,2790053,2794111,2798707,2800743,2800053,5140,18047,20852,13596,11822,9998,4058,4596,2036,-690,8467,33972,33638,33436,33627,34521,33945,33126,32740,32143,5529,22613,22543,23642,23213,24256,24495,25531,26106,26272,2938,11359,11095,9794,10414,10265,9450,7595,6634,5871,2287,6635,8563,6697,7516,8943,6802,7032,4642,4412,122,97,1614,-2585,-5723,-9000,-12135,-9945,-9175,-10899,2409,6732,10177,4112,1793,-57,-5333,-2913,-4533,-6487,-207,-44,-420,-310,-385,-210,-59,-86,-65,-74
12620,,,"Bangor, ME",Metropolitan Statistical Area,153923,153931,153861,153759,153347,153222,153201,151929,151333,151645,151817,152148,-70,-102,-412,-125,-21,-1272,-596,312,172,331,416,1445,1480,1460,1454,1437,1455,1421,1445,1378,374,1439,1488,1594,1462,1588,1597,1651,1629,1594,42,6,-8,-134,-8,-151,-142,-230,-184,-216,25,107,49,123,191,15,153,45,59,62,-127,-211,-436,-89,-179,-1137,-606,506,305,491,-102,-104,-387,34,12,-1122,-453,551,364,553,-10,-4,-17,-25,-25,1,-1,-9,-8,-6
12700,,,"Barnstable Town, MA",Metropolitan Statistical Area,215888,215880,215899,215356,214788,214518,214289,213877,213559,213581,213471,212990,19,-543,-568,-270,-229,-412,-318,22,-110,-481,445,1649,1589,1540,1549,1483,1535,1586,1542,1524,707,2868,2683,2884,2858,3004,2902,3041,2902,2917,-262,-1219,-1094,-1344,-1309,-1521,-1367,-1455,-1360,-1393,99,208,346,224,343,418,422,486,330,317,201,480,235,866,765,717,644,1006,934,616,300,688,581,1090,1108,1135,1066,1492,1264,933,-19,-12,-55,-16,-28,-26,-17,-15,-14,-21
12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,825905,825917,827629,831493,836197,841986,846827,851167,856723,854295,854526,854884,1712,3864,4704,5789,4841,4340,5556,-2428,231,358,2633,11190,11150,11377,11520,11563,11543,11307,11067,10800,1507,6364,6434,7000,7053,7262,7085,7289,7346,7474,1126,4826,4716,4377,4467,4301,4458,4018,3721,3326,194,1184,546,914,677,1096,1232,689,721,653,370,-2158,-522,476,-306,-1053,-118,-7164,-4207,-3639,564,-974,24,1390,371,43,1114,-6475,-3486,-2986,22,12,-36,22,3,-4,-16,29,-4,18
12980,,,"Battle Creek, MI",Metropolitan Statistical Area,136146,136150,135951,135105,134737,134751,134804,134327,134344,134180,134049,134159,-199,-846,-368,14,53,-477,17,-164,-131,110,408,1662,1618,1684,1698,1670,1659,1606,1499,1497,453,1468,1449,1464,1457,1463,1561,1574,1434,1395,-45,194,169,220,241,207,98,32,65,102,50,190,318,282,326,300,380,302,198,198,-202,-1234,-860,-482,-501,-985,-457,-496,-392,-184,-152,-1044,-542,-200,-175,-685,-77,-194,-194,14,-2,4,5,-6,-13,1,-4,-2,-2,-6
13020,,,"Bay City, MI",Metropolitan Statistical Area,107771,107773,107679,107417,106967,106794,106046,105237,104411,104045,103702,103126,-94,-262,-450,-173,-748,-809,-826,-366,-343,-576,297,1154,1070,1029,1087,1029,1048,1026,992,981,310,1160,1190,1138,1158,1297,1247,1276,1192,1163,-13,-6,-120,-109,-71,-268,-199,-250,-200,-182,10,69,46,25,18,10,11,3,-1,-5,-81,-322,-364,-76,-696,-545,-638,-114,-137,-384,-71,-253,-318,-51,-678,-535,-627,-111,-138,-389,-10,-3,-12,-13,1,-6,0,-5,-5,-5
13140,,,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,388745,388749,389251,390905,389614,391195,391651,394825,396539,398129,393815,392563,502,1654,-1291,1581,456,3174,1714,1590,-4314,-1252,1316,5078,5136,5382,5391,5590,5563,5386,5187,4998,821,3735,3715,3944,4075,3989,4069,4157,4208,4073,495,1343,1421,1438,1316,1601,1494,1229,979,925,104,462,507,527,741,784,729,640,513,353,-78,-140,-3322,-326,-1583,833,-495,-275,-5833,-2536,26,322,-2815,201,-842,1617,234,365,-5320,-2183,-19,-11,103,-58,-18,-44,-14,-4,27,6
13220,,,"Beckley, WV",Metropolitan Statistical Area,124898,124914,124949,125266,125110,124356,123342,122070,120475,118673,117154,115767,35,317,-156,-754,-1014,-1272,-1595,-1802,-1519,-1387,374,1547,1537,1532,1458,1345,1303,1246,1140,1125,420,1629,1623,1738,1579,1707,1694,1689,1723,1722,-46,-82,-86,-206,-121,-362,-391,-443,-583,-597,13,134,72,36,35,60,75,33,-1,0,77,265,-120,-578,-926,-968,-1278,-1394,-937,-784,90,399,-48,-542,-891,-908,-1203,-1361,-938,-784,-9,0,-22,-6,-2,-2,-1,2,2,-6
13380,,,"Bellingham, WA",Metropolitan Statistical Area,201140,201146,201545,203490,204863,206073,208154,211836,216417,221410,225197,229247,399,1945,1373,1210,2081,3682,4581,4993,3787,4050,610,2285,2259,2289,2221,2359,2329,2226,2179,2204,359,1430,1474,1602,1539,1565,1662,1741,1652,1662,251,855,785,687,682,794,667,485,527,542,99,338,274,217,537,523,457,526,414,403,73,754,347,330,879,2337,3442,3956,2833,3087,172,1092,621,547,1416,2860,3899,4482,3247,3490,-24,-2,-33,-24,-17,28,15,26,13,18
13460,,,"Bend, OR",Metropolitan Statistical Area,157733,157728,157742,159660,161359,165299,169512,174246,180666,186744,191905,197692,14,1918,1699,3940,4213,4734,6420,6078,5161,5787,426,1711,1668,1698,1749,1812,1784,1763,1856,1857,370,1216,1307,1333,1339,1398,1451,1541,1479,1548,56,495,361,365,410,414,333,222,377,309,-8,-39,-63,-39,-6,-37,36,-1,-54,-52,-16,1458,1390,3540,3698,4291,6010,5815,4815,5498,-24,1419,1327,3501,3692,4254,6046,5814,4761,5446,-18,4,11,74,111,66,41,42,23,32
13740,,,"Billings, MT",Metropolitan Statistical Area,167167,167165,167571,169017,170942,173367,174952,176357,177759,179365,180203,181667,406,1446,1925,2425,1585,1405,1402,1606,838,1464,546,2160,2178,2127,2153,2212,2134,2091,2006,2007,403,1543,1516,1640,1528,1630,1758,1665,1733,1653,143,617,662,487,625,582,376,426,273,354,22,11,6,144,36,45,119,108,53,54,236,821,1250,1772,928,791,913,1080,517,1061,258,832,1256,1916,964,836,1032,1188,570,1115,5,-3,7,22,-4,-13,-6,-8,-5,-5
13780,,,"Binghamton, NY",Metropolitan Statistical Area,251725,251724,251489,250238,248945,248017,247075,245283,243322,241709,240366,238691,-235,-1251,-1293,-928,-942,-1792,-1961,-1613,-1343,-1675,627,2526,2572,2555,2642,2575,2466,2436,2374,2345,556,2579,2482,2540,2511,2622,2461,2658,2538,2605,71,-53,90,15,131,-47,5,-222,-164,-260,94,384,434,361,441,489,504,388,302,239,-399,-1585,-1841,-1303,-1527,-2247,-2478,-1781,-1484,-1659,-305,-1201,-1407,-942,-1086,-1758,-1974,-1393,-1182,-1420,-1,3,24,-1,13,13,8,2,3,5
13820,,,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1061024,1061039,1061717,1064030,1067563,1072882,1076087,1079752,1082877,1085615,1087967,1090435,678,2313,3533,5319,3205,3665,3125,2738,2352,2468,3368,13985,13969,13726,13474,13925,13675,13389,13405,13084,2401,10302,10142,10656,10364,10903,10699,11127,11392,11356,967,3683,3827,3070,3110,3022,2976,2262,2013,1728,158,1165,944,1113,762,924,1282,602,699,671,-451,-2521,-1158,1234,-475,-184,-1087,-73,-326,108,-293,-1356,-214,2347,287,740,195,529,373,779,4,-14,-80,-98,-192,-97,-46,-53,-34,-39
13900,,,"Bismarck, ND",Metropolitan Statistical Area,110625,110625,111112,112865,115679,119240,122155,125325,127233,128115,128279,128949,487,1753,2814,3561,2915,3170,1908,882,164,670,406,1500,1611,1643,1790,1901,1898,1814,1670,1636,258,923,927,927,937,1012,995,1063,1072,1055,148,577,684,716,853,889,903,751,598,581,8,16,-11,0,41,222,190,274,257,134,312,1156,2071,2768,1972,2035,814,-136,-694,-43,320,1172,2060,2768,2013,2257,1004,138,-437,91,19,4,70,77,49,24,1,-7,3,-2
13980,,,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area,162958,162960,163131,163442,164120,165240,165688,165725,166572,166605,167492,167531,171,311,678,1120,448,37,847,33,887,39,381,1452,1545,1585,1497,1486,1471,1473,1448,1422,259,1327,1327,1432,1362,1364,1404,1427,1461,1435,122,125,218,153,135,122,67,46,-13,-13,96,505,794,531,689,681,632,598,281,283,-27,-326,-329,442,-369,-767,153,-617,618,-232,69,179,465,973,320,-86,785,-19,899,51,-20,7,-5,-6,-7,1,-5,6,1,1
14010,,,"Bloomington, IL",Metropolitan Statistical Area,169572,169577,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517,233,1099,1812,2316,-932,-964,-71,-316,-344,-893,527,2149,2079,2222,2054,2089,2074,2029,1887,1877,327,1100,1043,1182,1115,1179,1172,1172,1239,1246,200,1049,1036,1040,939,910,902,857,648,631,114,617,614,655,734,754,632,764,568,567,-65,-568,194,630,-2673,-2664,-1611,-1950,-1567,-2102,49,49,808,1285,-1939,-1910,-979,-1186,-999,-1535,-16,1,-32,-9,68,36,6,13,7,11
14020,,,"Bloomington, IN",Metropolitan Statistical Area,159549,159535,160132,161722,162852,163221,164422,165073,166655,167429,168092,169230,597,1590,1130,369,1201,651,1582,774,663,1138,439,1467,1534,1493,1527,1574,1548,1439,1475,1406,306,1067,1060,1152,1039,1171,1234,1209,1212,1203,133,400,474,341,488,403,314,230,263,203,212,925,1014,803,944,804,1159,782,1222,1223,241,259,-332,-769,-208,-547,110,-233,-827,-286,453,1184,682,34,736,257,1269,549,395,937,11,6,-26,-6,-23,-9,-1,-5,5,-2
14100,,,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,85562,85555,85657,85449,85472,85592,85538,84980,84390,83851,83455,83194,102,-208,23,120,-54,-558,-590,-539,-396,-261,238,844,824,846,842,833,792,749,752,726,182,881,899,870,907,957,928,959,941,951,56,-37,-75,-24,-65,-124,-136,-210,-189,-225,23,123,78,48,56,37,48,45,48,8,33,-293,40,101,-26,-467,-503,-372,-253,-38,56,-170,118,149,30,-430,-455,-327,-205,-30,-10,-1,-20,-5,-19,-4,1,-2,-2,-6
14260,,,"Boise City, ID",Metropolitan Statistical Area,616561,616566,617866,627670,637425,649224,662624,674640,691285,709682,728911,749202,1300,9804,9755,11799,13400,12016,16645,18397,19229,20291,2205,8644,8417,8520,8476,8748,8628,8466,8386,8479,810,4120,4115,4353,4342,4617,4838,4962,5015,4957,1395,4524,4302,4167,4134,4131,3790,3504,3371,3522,47,868,569,706,690,1326,1371,627,-69,-75,-100,4397,4818,6844,8417,6540,11438,14203,15860,16759,-53,5265,5387,7550,9107,7866,12809,14830,15791,16684,-42,15,66,82,159,19,46,63,67,85
14460,,,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,4552402,4552595,4566348,4609790,4656593,4702877,4746931,4778340,4809061,4841772,4859536,4873019,13753,43442,46803,46284,44054,31409,30721,32711,17764,13483,13282,52009,51155,51825,51576,51914,51435,51065,50790,50726,7983,34807,33638,34915,35254,37277,36398,37614,37981,38298,5299,17202,17517,16910,16322,14637,15037,13451,12809,12428,7050,26368,30006,29086,34613,32017,35232,38232,28204,24391,1643,-5,-2,995,-6106,-14836,-19437,-18857,-23195,-23252,8693,26363,30004,30081,28507,17181,15795,19375,5009,1139,-239,-123,-718,-707,-775,-409,-111,-115,-54,-84
14500,,,"Boulder, CO",Metropolitan Statistical Area,294567,294560,295037,299957,304570,309323,312233,318027,321250,322441,324636,326196,477,4920,4613,4753,2910,5794,3223,1191,2195,1560,765,2995,2962,2958,2937,2865,2824,2649,2634,2609,346,1507,1579,1667,1706,1793,1817,1793,1883,1935,419,1488,1383,1291,1231,1072,1007,856,751,674,225,1005,802,717,943,1183,931,765,961,938,-162,2416,2401,2715,788,3499,1288,-423,491,-42,63,3421,3203,3432,1731,4682,2219,342,1452,896,-5,11,27,30,-52,40,-3,-7,-8,-10
14540,,,"Bowling Green, KY",Metropolitan Statistical Area,158599,158613,159341,160985,162450,164653,166630,169507,171902,174981,176864,179240,728,1644,1465,2203,1977,2877,2395,3079,1883,2376,499,1939,1955,2074,2061,2171,2189,2222,2228,2228,213,1402,1393,1465,1399,1494,1534,1647,1539,1531,286,537,562,609,662,677,655,575,689,697,100,463,577,794,526,651,727,601,108,107,322,645,339,799,796,1535,1014,1898,1090,1570,422,1108,916,1593,1322,2186,1741,2499,1198,1677,20,-1,-13,1,-7,14,-1,5,-4,2
