CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
45940,,,"Trenton-Princeton, NJ",Metropolitan Statistical Area,366513,367485,367713,367378,368554,369429,368909,368124,367699,368168,368188,367430,228,-335,1176,875,-520,-785,-425,469,20,-758,1054,4380,4176,4213,4162,4161,4139,4105,4033,4021,718,2952,2808,2811,2840,3019,2841,2920,2914,2987,336,1428,1368,1402,1322,1142,1298,1185,1119,1034,386,1726,1396,1610,1747,2227,2108,2474,1510,1182,-492,-3507,-1549,-2137,-3647,-4194,-3848,-3207,-2619,-2997,-106,-1781,-153,-527,-1900,-1967,-1740,-733,-1109,-1815,-2,18,-39,0,58,40,17,17,10,23
46060,,,"Tucson, AZ",Metropolitan Statistical Area,980263,980263,981620,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279,1357,6761,4671,4075,7102,4874,7604,9684,10163,10725,2896,12077,11821,12044,12031,11743,11472,11102,10970,10891,2005,8635,8703,8874,8777,9171,9563,9504,10074,10199,891,3442,3118,3170,3254,2572,1909,1598,896,692,465,2452,2444,2855,3272,3161,2978,2022,1226,1204,115,900,-683,-1797,803,-747,2763,6076,8026,8801,580,3352,1761,1058,4075,2414,5741,8098,9252,10005,-114,-33,-208,-153,-227,-112,-46,-12,15,28
46140,,,"Tulsa, OK",Metropolitan Statistical Area,937478,937523,939833,945750,952484,961904,969421,980926,988706,991330,993135,998626,2310,5917,6734,9420,7517,11505,7780,2624,1805,5491,3306,13041,13141,13075,13255,13548,13509,13305,12573,12440,1965,8825,8649,9214,9111,9441,9309,9556,9870,9882,1341,4216,4492,3861,4144,4107,4200,3749,2703,2558,211,1573,1197,1234,1678,2424,2188,1310,1343,1257,801,159,1170,4345,1812,5005,1438,-2421,-2229,1715,1012,1732,2367,5579,3490,7429,3626,-1111,-886,2972,-43,-31,-125,-20,-117,-31,-46,-14,-12,-39
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,239207,239214,239481,240363,242328,244378,246988,249066,250099,250933,251257,252047,267,882,1965,2050,2610,2078,1033,834,324,790,708,2920,2983,2906,2984,3030,3078,3145,2948,2922,418,2303,2082,2236,2133,2325,2267,2302,2306,2381,290,617,901,670,851,705,811,843,642,541,53,246,297,385,291,362,422,202,231,232,-64,9,762,982,1412,1010,-197,-201,-547,24,-11,255,1059,1367,1703,1372,225,1,-316,256,-12,10,5,13,56,1,-3,-10,-2,-7
46300,,,"Twin Falls, ID",Metropolitan Statistical Area,99604,99596,99987,100620,101128,102662,103912,105216,107252,109142,110095,111290,391,633,508,1534,1250,1304,2036,1890,953,1195,456,1571,1587,1621,1602,1638,1619,1626,1562,1562,165,867,799,899,895,941,958,918,903,930,291,704,788,722,707,697,661,708,659,632,40,252,291,362,159,325,518,274,160,158,66,-320,-573,451,394,288,858,911,135,410,106,-68,-282,813,553,613,1376,1185,295,568,-6,-3,2,-1,-10,-6,-1,-3,-1,-5
46340,,,"Tyler, TX",Metropolitan Statistical Area,209714,209725,210408,212764,214811,216475,219642,222390,225161,227195,229749,232751,683,2356,2047,1664,3167,2748,2771,2034,2554,3002,726,2986,2973,3007,3190,3116,3135,3123,2966,2969,437,1944,1951,1967,2038,2048,2080,2102,2195,2177,289,1042,1022,1040,1152,1068,1055,1021,771,792,27,287,232,293,346,284,247,199,124,92,366,1031,808,357,1649,1404,1474,822,1660,2120,393,1318,1040,650,1995,1688,1721,1021,1784,2212,1,-4,-15,-26,20,-8,-5,-8,-1,-2
46520,,,"Urban Honolulu, HI",Metropolitan Statistical Area,953207,953206,956285,967336,977994,986059,987414,991064,992268,986353,979858,974563,3079,11051,10658,8065,1355,3650,1204,-5915,-6495,-5295,3382,13774,13514,13759,13550,12997,13123,12929,12231,12013,1755,7069,7130,7229,7467,7677,7373,7859,8407,8595,1627,6705,6384,6530,6083,5320,5750,5070,3824,3418,1562,5489,8122,4498,3129,5829,7126,3467,3153,3736,-59,-1106,-3685,-2789,-7781,-7449,-11661,-14471,-13468,-12427,1503,4383,4437,1709,-4652,-1620,-4535,-11004,-10315,-8691,-51,-37,-163,-174,-76,-50,-11,19,-4,-22
46540,,,"Utica-Rome, NY",Metropolitan Statistical Area,299397,299329,299226,298604,297992,297230,295982,293916,292811,292174,291187,289990,-103,-622,-612,-762,-1248,-2066,-1105,-637,-987,-1197,844,3278,3335,3318,3261,3185,3149,3088,3141,3042,816,3161,3101,3317,3051,3363,3264,3249,3139,3149,28,117,234,1,210,-178,-115,-161,2,-107,141,621,636,588,656,637,665,550,491,265,-255,-1357,-1476,-1341,-2120,-2538,-1651,-1018,-1479,-1355,-114,-736,-840,-753,-1464,-1901,-986,-468,-988,-1090,-17,-3,-6,-10,6,13,-4,-8,-1,0
46660,,,"Valdosta, GA",Metropolitan Statistical Area,139588,139662,140054,142007,144121,142937,143433,143311,144471,145360,146143,147292,392,1953,2114,-1184,496,-122,1160,889,783,1149,503,2159,2082,2073,2025,2025,1964,1950,1951,1934,342,1119,992,1193,1074,1189,1122,1305,1221,1318,161,1040,1090,880,951,836,842,645,730,616,49,92,390,279,210,316,349,165,79,127,164,810,548,-2410,-668,-1292,-25,87,-20,409,213,902,938,-2131,-458,-976,324,252,59,536,18,11,86,67,3,18,-6,-8,-6,-3
46700,,,"Vallejo, CA",Metropolitan Statistical Area,413344,413343,413967,416342,419674,423659,429006,433409,438858,443511,445725,447643,624,2375,3332,3985,5347,4403,5449,4653,2214,1918,1188,5175,5069,5142,5254,5283,5195,5195,5093,5088,643,2872,2920,2961,3034,3178,3224,3376,3682,3711,545,2303,2149,2181,2220,2105,1971,1819,1411,1377,209,753,1154,954,886,933,790,534,198,280,-83,-673,127,916,2260,1405,2691,2300,617,277,126,80,1281,1870,3146,2338,3481,2834,815,557,-47,-8,-98,-66,-19,-40,-3,0,-12,-16
